ident,type,name,elevation_ft,iso_country,iso_region,municipality,local_code
00A,heliport,Total Rf Heliport,11.0,US,US-PA,Bensalem,00A
00AA,small_airport,Aero B Ranch Airport,3435.0,US,US-KS,Leoti,00AA
00AK,small_airport,Lowell Field,450.0,US,US-AK,Anchor Point,00AK
00AL,small_airport,Epps Airpark,820.0,US,US-AL,Harvest,00AL
00AR,closed,Newport Hospital & Clinic Heliport,237.0,US,US-AR,Newport,
00AS,small_airport,Fulton Airport,1100.0,US,US-OK,Alex,00AS
00AZ,small_airport,Cordes Airport,3810.0,US,US-AZ,Cordes,00AZ
00CA,small_airport,Goldstone /Gts/ Airport,3038.0,US,US-CA,Barstow,00CA
00CL,small_airport,Williams Ag Airport,87.0,US,US-CA,Biggs,00CL
00CN,heliport,Kitchen Creek Helibase Heliport,3350.0,US,US-CA,Pine Valley,00CN
00CO,closed,Cass Field,4830.0,US,US-CO,Briggsdale,
00FA,small_airport,Grass Patch Airport,53.0,US,US-FL,Bushnell,00FA
00FD,heliport,Ringhaver Heliport,25.0,US,US-FL,Riverview,00FD
00FL,small_airport,River Oak Airport,35.0,US,US-FL,Okeechobee,00FL
00GA,small_airport,Lt World Airport,700.0,US,US-GA,Lithonia,00GA
00GE,heliport,Caffrey Heliport,957.0,US,US-GA,Hiram,00GE
00HI,heliport,Kaupulehu Heliport,43.0,US,US-HI,Kailua/Kona,00HI
00ID,small_airport,Delta Shores Airport,2064.0,US,US-ID,Clark Fork,00ID
00IG,small_airport,Goltl Airport,3359.0,US,US-KS,McDonald,00IG
00II,heliport,Bailey Generation Station Heliport,600.0,US,US-IN,Chesterton,00II
00IL,small_airport,Hammer Airport,840.0,US,US-IL,Polo,00IL
00IN,heliport,St Mary Medical Center Heliport,634.0,US,US-IN,Hobart,00IN
00IS,small_airport,Hayenga's Cant Find Farms Airport,820.0,US,US-IL,Kings,00IS
00KS,small_airport,Hayden Farm Airport,1100.0,US,US-KS,Gardner,00KS
00KY,small_airport,Robbins Roost Airport,1265.0,US,US-KY,Stanford,00KY
00LA,heliport,Shell Chemical East Site Heliport,15.0,US,US-LA,Gonzales,00LA
00LL,heliport,Ac & R Components Heliport,600.0,US,US-IL,Chatham,00LL
00LS,small_airport,Lejeune Airport,12.0,US,US-LA,Esterwood,00LS
00MD,small_airport,Slater Field,45.0,US,US-MD,Federalsburg,00MD
00MI,heliport,Dow Chemical Heliport,588.0,US,US-MI,Ludington,00MI
00MN,small_airport,Battle Lake Municipal Airport,1365.0,US,US-MN,Battle Lake,00MN
00MO,small_airport,Cooper Flying Service Airport,970.0,US,US-MO,Alba,00MO
00MT,closed,Sands Ranch Airport,2600.0,US,US-MT,Havre,
00N,small_airport,Bucks Airport,105.0,US,US-NJ,Bridgeton,00N
00NC,small_airport,North Raleigh Airport,348.0,US,US-NC,Louisburg,00NC
00NJ,heliport,Colgate-Piscataway Heliport,78.0,US,US-NJ,New Brunswick,00NJ
00NK,seaplane_base,Cliche Cove Seaplane Base,96.0,US,US-NY,Beekmantown,00NK
00NY,small_airport,Weiss Airfield,1000.0,US,US-NY,West Bloomfield,00NY
00OH,small_airport,Exit 3 Airport,785.0,US,US-OH,Wauseon,00OH
00OI,heliport,Miami Valley Hospital Heliport,905.0,US,US-OH,Dayton,00OI
00OK,small_airport,Gull Bay Landing Airport,960.0,US,US-OK,Sandsprings,00OK
00OR,heliport,Steel Systems Heliport,195.0,US,US-OR,Salem,00OR
00PA,heliport,R J D Heliport,402.0,US,US-PA,Coatesville,00PA
00PN,small_airport,Ferrell Field,1301.0,US,US-PA,Mercer,00PN
00PS,closed,Thomas Field,815.0,US,US-PA,Loysville,
00S,small_airport,Mc Kenzie Bridge State Airport,1620.0,US,US-OR,Mc Kenzie Bridge,00S
00SC,small_airport,Flying O Airport,150.0,US,US-SC,Sumter,00SC
00SD,small_airport,Homan Field,1590.0,US,US-SD,Gary,00SD
00TA,heliport,Sw Region Faa Heliport,598.0,US,US-TX,Fort Worth,00TA
00TE,heliport,Tcjc-Northeast Campus Heliport,600.0,US,US-TX,Fort Worth,00TE
00TN,small_airport,Ragsdale Road Airport,1100.0,US,US-TN,Manchester,00TN
00TS,small_airport,Alpine Range Airport,670.0,US,US-TX,Everman,00TS
00TX,closed,San Jacinto Methodist Hospital Heliport,19.0,US,US-TX,Baytown,
00UT,closed,Clear Creek Ranch Airport,6138.0,US,US-UT,Kanab,
00VA,small_airport,Vaughan Airport,551.0,US,US-VA,Alton,00VA
00VI,small_airport,Groundhog Mountain Airport,2680.0,US,US-VA,Hillsville,00VI
00W,small_airport,Lower Granite State Airport,719.0,US,US-WA,Colfax,00W
00WA,small_airport,Howell Airport,150.0,US,US-WA,Longbranch,00WA
00WI,small_airport,Northern Lite Airport,860.0,US,US-WI,Waupaca,00WI
00WN,small_airport,Hawks Run Airport,2900.0,US,US-WA,Asotin,00WN
00WV,small_airport,Lazy J. Aerodrome,2060.0,US,US-WV,Beverly,00WV
00WY,heliport,Mountain View Regional Hospital Heliport,5210.0,US,US-WY,Casper,00WY
00XS,small_airport,L P Askew Farms Airport,3110.0,US,US-TX,O'Donnell,00XS
01A,small_airport,Purkeypile Airport,1950.0,US,US-AK,Purkeypile,01A
01AK,heliport,Providence Seward Medical Center Heliport,120.0,US,US-AK,Seward,01AK
01AL,small_airport,Ware Island Airport,344.0,US,US-AL,Clanton,01AL
01AR,heliport,Community Hospital of De Queen Heliport,400.0,US,US-AR,De Queen,01AR
01AZ,heliport,Yat Heliport,3300.0,US,US-AZ,Camp Verde,01AZ
01C,closed,Grant Airport,815.0,US,US-MI,Grant,01C
01CA,heliport,Lugo Substation Heliport,3733.0,US,US-CA,Hesperia,01CA
01CL,small_airport,Swansboro Country Airport,2594.0,US,US-CA,Placerville,01CL
01CN,heliport,Los Angeles County Sheriff's Department Heliport,300.0,US,US-CA,Los Angeles,01CN
01CO,heliport,St Vincent General Hospital Heliport,10175.0,US,US-CO,Leadville,01CO
01CT,heliport,Berlin Fairgrounds Heliport,60.0,US,US-CT,Berlin,01CT
01FA,small_airport,Rybolt Ranch Airport,55.0,US,US-FL,Orlando,01FA
01FD,heliport,Advent Health Altamonte Springs Heliport,86.0,US,US-FL,Altamonte Springs,01FD
01FL,small_airport,Cedar Knoll Flying Ranch Airport,19.0,US,US-FL,Geneva,01FL
01GA,heliport,Medical Center Heliport,319.0,US,US-GA,Columbus,01GA
01GE,small_airport,The Farm Airport,375.0,US,US-GA,Wrightsville,01GE
01IA,small_airport,Stender Airport,725.0,US,US-IA,Maysville,01IA
01ID,small_airport,Lava Hot Springs Airport,5268.0,US,US-ID,Lava Hot Springs,01ID
01II,small_airport,Myers Field,950.0,US,US-IN,Lizton,01II
01IL,heliport,Hoopeston Community Memorial Hospital Heliport,583.0,US,US-IL,Hoopeston,01IL
01IN,heliport,Community Hospital Heliport,890.0,US,US-IN,Anderson,01IN
01IS,small_airport,William E. Koenig Airport,670.0,US,US-IL,Dow,01IS
01J,small_airport,Hilliard Airpark,59.0,US,US-FL,Hilliard,01J
01K,small_airport,Caldwell Municipal Airport,1157.0,US,US-KS,Caldwell,01K
01KS,small_airport,Flying N Ranch Airport,1485.0,US,US-KS,Lost Springs,01KS
01KY,heliport,Lourdes Hospital Heliport,419.0,US,US-KY,Paducah,01KY
01LA,small_airport,Barham Airport,90.0,US,US-LA,Oak Ridge,01LA
01LL,small_airport,Schumaier Restricted Landing Area,555.0,US,US-IL,Pinckneyville,01LL
01LS,small_airport,Country Breeze Airport,125.0,US,US-LA,Slaughter,01LS
01MA,heliport,Compaq Andover Heliport,140.0,US,US-MA,Andover,01MA
01MD,seaplane_base,Annapolis Seaplane Base,,US,US-MD,Annapolis,01MD
01ME,seaplane_base,Saint Peter's Seaplane Base,608.0,US,US-ME,Portage Lake,01ME
01MI,heliport,Flow Through Terminal Heliport,736.0,US,US-MI,Flint,01MI
01MN,seaplane_base,Barnes Seaplane Base,1358.0,US,US-MN,Cook,01MN
01MO,heliport,Highway Patrol Troop C Headquarters Heliport,615.0,US,US-MO,Town and Country,01MO
01MT,small_airport,Crystal Lakes Resort Airport,3141.0,US,US-MT,Fortine,01MT
01NC,small_airport,Topsail Airpark,65.0,US,US-NC,Holly Ridge,01NC
01NE,small_airport,Detour Airport,3000.0,US,US-NE,Wellfleet,01NE
01NH,small_airport,Moore Airfield,835.0,US,US-NH,Canaan,01NH
01NJ,heliport,Albert Guido Memorial Heliport,10.0,US,US-NJ,Newark,01NJ
01NM,small_airport,Champion Ranch Airport,3630.0,US,US-NM,Artesia,01NM
01NV,small_airport,Lantana Ranch Airport,4600.0,US,US-NV,Yerington,01NV
01NY,heliport,Vassar Hospital Heliport,100.0,US,US-NY,Poughkeepsie,01NY
01OI,heliport,Galion Community Hospital Heliport,1140.0,US,US-OH,Galion,01OI
01OK,closed,Lawrence Airport,1525.0,US,US-OK,Eakly,
01OR,closed,Red & White Flying Service Airport,4346.0,US,US-OR,Silver Lake,
01PA,heliport,Pine Heliport,1215.0,US,US-PA,Mars,01PA
01PN,small_airport,Bierly(Personal Use) Airport,960.0,US,US-PA,Bellefonte,01PN
01PS,small_airport,Nort's Resort Airport,1040.0,US,US-PA,Meshoppen,01PS
01SC,small_airport,York Airport,779.0,US,US-SC,York,01SC
01TA,heliport,Thirty Thirty Matlock Office Center Heliport,630.0,US,US-TX,Arlington,01TA
01TE,small_airport,Smith Field,505.0,US,US-TX,Forney,01TE
01TN,small_airport,Colonial Air Park,370.0,US,US-TN,Collierville,01TN
01TS,closed,St Joseph Hospital Heliport,675.0,US,US-TX,Fort Worth,
01TX,small_airport,Mims Farm Ultralightport,610.0,US,US-TX,Waxahachie,01TX
01U,small_airport,Duckwater Airport,5124.0,US,US-NV,Duckwater,01U
01UT,small_airport,La Sal Junction Airport,6000.0,US,US-UT,La Sal,01UT
01VA,small_airport,Pickles Airport,500.0,US,US-VA,Berryville,01VA
01WA,heliport,Willapa Harbor Heliport,154.0,US,US-WA,South Bend,01WA
01WI,small_airport,Prehn Cranberry Company Airport,930.0,US,US-WI,Tomah,01WI
01WN,heliport,Whidbey General Hospital Heliport,103.0,US,US-WA,Coupeville,01WN
01WT,heliport,Odyssey Heliport,20.0,US,US-WA,Renton,01WT
01WY,small_airport,Keyhole Airport,4250.0,US,US-WY,Moorcroft,01WY
01XA,heliport,Seton Medical Center Hays Heliport,715.0,US,US-TX,Kyle,01XA
01XS,heliport,Meadowood Ranch Heliport,500.0,US,US-TX,Athens,01XS
02AK,small_airport,Rustic Wilderness Airport,190.0,US,US-AK,Willow,02AK
02AL,small_airport,Bass Field,61.0,US,US-AL,Foley,02AL
02AR,closed,Three Rivers Airport,264.0,US,US-AR,Little Rock,
02AZ,closed,Winchester Farm Airstrip,4200.0,US,US-AZ,Willcox,
02CA,heliport,Swepi Beta Platform Ellen Heliport,122.0,US,US-CA,Huntington Beach,02CA
02CD,small_airport,Shannon Field,165.0,US,US-MS,Clarksdale,02CD
02CL,small_airport,Conover Air Lodge Airport,5160.0,US,US-CA,Frazier Park,02CL
02CO,small_airport,Mc Cullough Airport,7615.0,US,US-CO,Monte Vista,02CO
02CT,heliport,Strangers Point Heliport,540.0,US,US-CT,Ellington,02CT
02FA,small_airport,Osborn Airfield,121.0,US,US-FL,Groveland,02FA
02FL,small_airport,Cuchens Airport,215.0,US,US-FL,Defuniak Springs,02FL
02GA,small_airport,Doug Bolton Field,884.0,US,US-GA,Commerce,02GA
02GE,small_airport,Etowah Fields Airport,710.0,US,US-GA,Euharlee,02GE
02HI,heliport,K3 Helipad Heliport,9.0,US,US-HI,Pearl Harbor,02HI
02IA,heliport,Boone County Hospital Heliport,1160.0,US,US-IA,Boone,02IA
02ID,small_airport,Morgan Ranch Airport,5634.0,US,US-ID,Cascade,02ID
02II,small_airport,King Ultralightport,925.0,US,US-IN,Westfield,02II
02IN,small_airport,Diamond P. Field,904.0,US,US-IN,Muncie,02IN
02IS,heliport,Condell Medical Center Heliport,762.0,US,US-IL,Libertyville,02IS
02KS,small_airport,Jmj Landing Airport,1170.0,US,US-KS,St Marys,02KS
02KT,heliport,St Claire Healthcare Heliport,781.0,US,US-KY,Morehead,02KT
02KY,heliport,Boone National Guard Heliport,760.0,US,US-KY,Frankfort,02KY
02LA,heliport,La State Police Troop G Heliport,168.0,US,US-LA,Bossier City,02LA
02LS,heliport,Windy Hill Heliport,25.0,US,US-LA,Broussard,02LS
02MA,heliport,Cuttyhunk Heliport,9.0,US,US-MA,Gosnold,02MA
02MD,small_airport,Garner Field,141.0,US,US-MD,Brandywine,02MD
02ME,small_airport,Nadeau's Airport,700.0,US,US-ME,Acton,02ME
02MI,small_airport,Fairplains Airpark,850.0,US,US-MI,Greenville,02MI
02MN,small_airport,Greenbush Municipal Airport,1070.0,US,US-MN,Greenbush,02MN
02MO,small_airport,Troy Airpark,650.0,US,US-MO,Troy,02MO
02MS,small_airport,Watts Field,153.0,US,US-MS,Rochdale,02MS
02MT,closed,Barrett Field,3350.0,US,US-MT,Cascade,
02MU,closed,Timber Line Airpark,1550.0,US,US-MO,Cassville,
02NC,heliport,Race City Heliport,809.0,US,US-NC,Landis,02NC
02NE,small_airport,Benes Service Airport,1550.0,US,US-NE,Valparaiso,02NE
02NH,seaplane_base,Iroquois Landing Seaplane Base,1180.0,US,US-NH,Dummer,02NH
02NJ,heliport,Penske Heliport,78.0,US,US-NJ,Piscataway,02NJ
02NV,small_airport,Paiute Meadows Airport,4443.0,US,US-NV,Winnemucca,02NV
02NY,heliport,Hansen Heliport,435.0,US,US-NY,Durhamville,02NY
02OH,small_airport,Zimmerman Airport,614.0,US,US-OH,Fremont,02OH
02OI,small_airport,Murtha Airport,950.0,US,US-OH,Conneaut,02OI
02OK,heliport,Canon Heliport,1191.0,US,US-OK,Oklahoma City,02OK
02OR,small_airport,Rowena Dell Airport,705.0,US,US-OR,The Dalles,02OR
02P,heliport,Stottle Memorial Heliport,591.0,US,US-PA,Honey Grove,02P
02PA,heliport,Lag Iii Heliport,1070.0,US,US-PA,Monroeville,02PA
02PN,heliport,Peco Berwyn Heliport,390.0,US,US-PA,Berwyn,02PN
02PS,small_airport,Hughes Ultralightport,1700.0,US,US-PA,Tioga,02PS
02SC,small_airport,Harpers Airport,111.0,US,US-SC,Estill,02SC
02T,small_airport,Wise River Airport,5830.0,US,US-MT,Wise River,02T
02TA,heliport,Matagorda Shore Facility Heliport,5.0,US,US-TX,Matagorda,02TA
02TE,heliport,Baylor Medical Center Heliport,560.0,US,US-TX,Waxahachie,02TE
02TN,small_airport,Ellis Field,840.0,US,US-TN,Murfreesboro,02TN
02TS,closed,FWOMC Heliport,684.0,US,US-TX,Fort Worth,
02TX,small_airport,The Palms At Kitty Hawk Airport,3235.0,US,US-TX,New Home,02TX
02UT,small_airport,Lucin Airport,4412.0,US,US-UT,Lucin,02UT
02VA,small_airport,The Greenhouse Airport,320.0,US,US-VA,Culpeper,02VA
02VG,heliport,Northstar Aviation Heliport,1850.0,US,US-VA,Bristol,02VG
02WA,small_airport,Cawleys South Prairie Airport,690.0,US,US-WA,South Prairie,02WA
02WI,small_airport,Beer Airport,920.0,US,US-WI,Hudson,02WI
02WN,small_airport,Fowler Field,2150.0,US,US-WA,Tonasket,02WN
02XA,small_airport,JLS Farms Airport,675.0,US,US-TX,Honey Grove,02XA
02XS,small_airport,Seidel Ranch Airport,510.0,US,US-TX,Elroy,02XS
03AA,heliport,Trapper T Heliport,159.0,US,US-AK,Palmer,03AA
03AK,seaplane_base,Joe Clouds Seaplane Base,150.0,US,US-AK,Kenai,03AK
03AL,heliport,Highland Medical Center Heliport,628.0,US,US-AL,Scottsboro,03AL
03AR,heliport,Hscmh Heliport,350.0,US,US-AR,Malvern,03AR
03AZ,small_airport,Thompson International Aviation Airport,4275.0,US,US-AZ,Hereford,03AZ
03CA,heliport,Grossmont Hospital Heliport,634.0,US,US-CA,La Mesa,03CA
03CO,small_airport,Kugel-Strong Airport,4950.0,US,US-CO,Platteville,03CO
03FA,small_airport,Lake Persimmon Airstrip,70.0,US,US-FL,Lake Placid,03FA
03FD,closed,Tharpe Airport,115.0,US,US-FL,Bonifay,
03FL,heliport,Ranger Heliport,20.0,US,US-FL,West Palm Beach,03FL
03GA,small_airport,HIA Airport,238.0,US,US-IN,Statesboro,03GA
03I,closed,Clarks Dream Strip,680.0,US,US-OH,Circleville,
03IA,small_airport,East Field,954.0,US,US-IA,Montezuma,03IA
03ID,small_airport,Flying Y Ranch Airport,3180.0,US,US-ID,Council,03ID
03II,small_airport,Davis Field Ultralightport,465.0,US,US-IN,Mount Vernon,03II
03IL,small_airport,Wix Airport,750.0,US,US-IL,Monee,03IL
03IN,small_airport,Heinzman Airport,850.0,US,US-IN,Arcadia,03IN
03IS,heliport,OSF St Anthony's Health Center Heliport,580.0,US,US-IL,Alton,03IS
03KS,heliport,Valley Grain Heliport,1160.0,US,US-KS,Highland,03KS
03KY,small_airport,Flying H Farms Airport,385.0,US,US-KY,Henderson,03KY
03LA,heliport,Damien Heliport,25.0,US,US-LA,Carville,03LA
03LS,heliport,Fmc Nr 1 Heliport,79.0,US,US-LA,Winnsboro,03LS
03M,seaplane_base,Lakeside Marina Seaplane Base,165.0,US,US-ME,East Winthrop,03M
03MA,small_airport,Hadley Airport,150.0,US,US-MA,Hadley,03MA
03MD,heliport,Upper Chesapeake Medical Center Heliport,302.0,US,US-MD,Bel Air,03MD
03ME,small_airport,Maple Ridge Airport,556.0,US,US-ME,Harrison,03ME
03MI,heliport,Harold Miller Heliport,585.0,US,US-MI,Bay City,03MI
03MN,small_airport,Nauerth Land Ranch Airport,1435.0,US,US-MN,Lakefield,03MN
03MO,closed,Cahoochie Airport,1010.0,US,US-MO,Urbana,
03MS,heliport,Vicksburg Medical Center Heliport,110.0,US,US-MS,Vicksburg,03MS
03MT,small_airport,Cascade Field,3580.0,US,US-MT,Cascade,3MT7
03MU,small_airport,Mc Donnell Airport,874.0,US,US-MO,Archie,03MU
03NC,small_airport,Pilots Ridge Airport,35.0,US,US-NC,Carolina Beach,03NC
03ND,small_airport,Olafson Brothers Airport,1045.0,US,US-ND,Edinburg,03ND
03NE,small_airport,Hyde Ranch Airport,2430.0,US,US-NE,Comstock,03NE
03NH,heliport,Lorden Heliport,400.0,US,US-NH,Milford,03NH
03NJ,heliport,At&T Heliport,360.0,US,US-NJ,Berkeley Heights,03NJ
03NV,small_airport,Llama Ranch Airport,6120.0,US,US-NV,Ruby Valley,03NV
03NY,small_airport,Talmage Field,95.0,US,US-NY,Riverhead,03NY
03OH,small_airport,Gibbs Field,580.0,US,US-OH,Fremont,03OH
03OI,heliport,Marymount Hospital Heliport,890.0,US,US-OH,Garfield Heights,03OI
03OK,small_airport,Sahoma Lake Airport,890.0,US,US-OK,Sapulpa,03OK
03OR,small_airport,Powwatka Ridge Airport,3340.0,US,US-OR,Troy,03OR
03PA,heliport,Collegeville Heliport,197.0,US,US-PA,Collegeville,03PA
03PN,heliport,M.P. Metals Heliport,479.0,US,US-PA,Berwick,03PN
03PR,small_airport,Sun View Field Airport,980.0,US,US-KS,Bonner Springs,03PR
03PS,closed,Ziggy's Field,1050.0,US,US-PA,Bellefonte,
03S,small_airport,Sandy River Airport,704.0,US,US-OR,Sandy,03S
03SC,heliport,Seacoast Medical Center Heliport,73.0,US,US-SC,Little River,03SC
03TA,closed,Gay Hill Farm Airport,505.0,US,US-TX,Gay Hill,
03TE,small_airport,Barronena Ranch Airport,600.0,US,US-TX,Hebbronville,03TE
03TN,heliport,Eagles Landing Heliport,1000.0,US,US-TN,Sevierville,03TN
03TS,heliport,Shannon Medical Center Heliport,1825.0,US,US-TX,San Angelo,03TS
03TX,heliport,M D K Field,50.0,US,US-TX,Pearland,03TX
03UT,small_airport,A Z Minerals Corporation Airport,5315.0,US,US-UT,Mexican Hat,03UT
03VA,closed,Whipoorwill Springs Airport,250.0,US,US-VA,Nokesville,03VA
03WA,small_airport,Spangle Field,2440.0,US,US-WA,Spangle,03WA
03WI,small_airport,Zink Airport,880.0,US,US-WI,Berlin,03WI
03WN,small_airport,Aerostone Ranch Airport,2320.0,US,US-WA,Goldendale,03WN
03XS,small_airport,Creekside Airport,2100.0,US,US-TX,Mertzon,03XS
04AA,small_airport,Phil's Airport,250.0,US,US-AK,Soldotna,04AA
04AL,heliport,Anniston AHP (Anniston Army Depot),686.0,US,US-AL,Anniston,04AL
04AR,heliport,Saline Memorial Hospital Heliport,430.0,US,US-AR,Benton,04AR
04AZ,small_airport,Chinle Airport,5515.0,US,US-AZ,Chinle,04AZ
04CA,small_airport,Gray Butte Field,3020.0,US,US-CA,Palmdale,04CA
04CL,small_airport,Hunt's Sky Ranch Airport,2310.0,US,US-CA,Julian,04CL
04CT,heliport,Shingle Mill Heliport,880.0,US,US-CT,Harwinton,04CT
04F,closed,De Leon Municipal Airport,1293.0,US,US-TX,De Leon,
04FA,small_airport,Richards Field,9.0,US,US-FL,Homestead,04FA
04FD,heliport,Tampa General Hospital Brandon Healthplex Heliport,37.0,US,US-FL,Brandon,04FD
04FL,small_airport,Cross Creek Farms Airport,30.0,US,US-FL,Ormond,04FL
04I,small_airport,Columbus Southwest Airport,920.0,US,US-OH,Columbus,04I
04IA,small_airport,Middlekoop Airport,801.0,US,US-IA,Packwood,04IA
04ID,small_airport,Lanham Field,2343.0,US,US-ID,Emmett,04ID
04II,small_airport,Turkey Run Airport,765.0,US,US-IN,New Haven,04II
04IL,small_airport,Schertz Aerial Service - Hudson Airport,755.0,US,US-IL,Hudson,04IL
04IN,seaplane_base,Lake Gage Seaplane Base,954.0,US,US-IN,Angola,04IN
04IS,small_airport,Van Gorder Airport,728.0,US,US-IL,Mansfield,04IS
04KS,heliport,Robinson Industries Heliport,835.0,US,US-KS,Lawrence,04KS
04KY,small_airport,Natchez Trace Farm Airport,710.0,US,US-KY,Hiseville,04KY
04LA,heliport,St James Heliport,10.0,US,US-LA,Lutcher,04LA
04LL,small_airport,Brunner Airport,750.0,US,US-IL,West Dundee,04LL
04LS,heliport,La National Guard Heliport,52.0,US,US-LA,Baton Rouge,04LS
04MA,closed,Goddard Field (Airport),200.0,US,US-MA,Haverhill,04MA
04MD,heliport,Chesapeake City Heliport,40.0,US,US-MD,Chesapeake City,04MD
04ME,small_airport,Beech Hill Airport,625.0,US,US-ME,Mercer,04ME
04MI,small_airport,Rapids Airway Airport,880.0,US,US-MI,Eaton Rapids,04MI
04MN,small_airport,Helblad Airport,1195.0,US,US-MN,Kelliher,04MN
04MO,small_airport,Airpark Private Airport,767.0,US,US-MO,Vandalia,04MO
04MS,small_airport,Nick's Flying Service Inc Airport,100.0,US,US-MS,Rolling Fork,04MS
04MT,small_airport,Pluhar Airport,2715.0,US,US-MT,Cohagen,04MT
04NC,heliport,Western Wake Medical Center Heliport,445.0,US,US-NC,Cary,04NC
04NE,small_airport,Mc Connell Field Airport,3035.0,US,US-NE,Sarben,04NE
04NJ,small_airport,Emmanuel Airport,155.0,US,US-NJ,Elmer,04NJ
04NV,small_airport,Kingston Ranch Airport,2620.0,US,US-NV,Sandy Valley,04NV
04NY,small_airport,Klaverack Airport,250.0,US,US-NY,Hudson,04NY
04OG,heliport,Teufel Heliport,185.0,US,US-OR,Forest Grove,04OG
04OH,closed,Bossow Airport,1080.0,US,US-OH,Garrettsville,
04OK,heliport,Stillwater Medical Center Heliport,984.0,US,US-OK,Stillwater,04OK
04OR,small_airport,Collins Landing Strip,1500.0,US,US-OR,Mitchell,04OR
04PA,heliport,S & C Distribution Center Heliport,50.0,US,US-PA,Philadelphia,04PA
04PN,heliport,Strawbridge & Clothier Exton Heliport,320.0,US,US-PA,Exton,04PN
04SC,heliport,Emergency Helipad,994.0,US,US-SC,Easley,04SC
04SD,heliport,Cheyenne River Health Center Heliport,2437.0,US,US-SD,Eagle Butte,04SD
04TA,heliport,Capitol National Bank Building Heliport,540.0,US,US-TX,Austin,04TA
04TE,heliport,Veterans Affairs Medical Center Heliport,49.0,US,US-TX,Houston,04TE
04TN,small_airport,Hensley Airpark,1430.0,US,US-TN,Chuckey,04TN
04TS,heliport,Hummingbird Heliport,690.0,US,US-TX,Hutto,04TS
04TX,small_airport,Pocock Airport,565.0,US,US-TX,China Spring,04TX
04UT,small_airport,Navajo Mountain Airport,6160.0,US,US-UT,Navajo Mountain Trdng Post,04UT
04V,small_airport,Saguache Municipal Airport,7826.0,US,US-CO,Saguache,04V
04VA,heliport,Russell County Medical Center Heliport,2004.0,US,US-VA,Lebanon,04VA
04VG,small_airport,Manquin Flight Park Ultralightport,50.0,US,US-VA,Manquin,04VG
04VT,small_airport,Lightning Bolt Field Airport,2156.0,US,US-VT,Cabot,04VT
04W,small_airport,Field of Dreams Airport,1021.0,US,US-MN,Hinckley,04W
04WA,small_airport,Ox Meadows Airport,2345.0,US,US-WA,Spokane,04WA
04WI,small_airport,Dutch Gap Airstrip,760.0,US,US-WI,Bristol,04WI
04WN,small_airport,Stillwater Creek Airport,1510.0,US,US-WA,Royal City,04WN
04WV,heliport,West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport,1137.0,US,US-WV,Morgantown,04WV
04XS,heliport,Napiers Heliport,625.0,US,US-TX,Mansfield,04XS
05AK,small_airport,Wasilla Creek Airpark,620.0,US,US-AK,Palmer,05AK
05AL,heliport,Allen Stagefield Army Heliport,365.0,US,US-AL,Fort Rucker/Wicksburg,05AL
05AR,small_airport,Ozark Skies Airpark,1900.0,US,US-AR,Kingston,05AR
05AZ,heliport,Yuma Regional Medical Center Heliport,200.0,US,US-AZ,Yuma,05AZ
05B,seaplane_base,Van Buren Seaplane Base,440.0,US,US-ME,Van Buren,05B
05CA,heliport,Lost Hills Sheriff's Station Heliport,888.0,US,US-CA,Calabasas,05CA
05CL,small_airport,Pope Valley Airport,618.0,US,US-CA,Pope Valley,05CL
05CO,small_airport,Rancho De Aereo Airport,4978.0,US,US-CO,Mead,05CO
05CT,heliport,O And G Heliport,600.0,US,US-CT,Torrington,05CT
05FA,small_airport,Melanie's Airport,295.0,US,US-FL,Florala,05FA
05FD,heliport,Aventura Heliport,6.0,US,US-FL,North Miami Beach,05FD
05FL,small_airport,Charlton Strip,36.0,US,US-FL,La Belle,05FL
05GA,small_airport,Raju Airport,625.0,US,US-GA,Richland,05GA
05IA,small_airport,Spotts Field,1155.0,US,US-IA,Nora Springs,05IA
05ID,small_airport,Running Creek Ranch Airport,2969.0,US,US-ID,Grangeville,05ID
05II,small_airport,Reichhart Airport,795.0,US,US-IN,New Haven,05II
05IL,small_airport,Classic Landings Airport,635.0,US,US-IL,Bonfield,05IL
05IN,small_airport,Cooper Airport,860.0,US,US-IN,Belleville,05IN
05IS,small_airport,Hardy Airport,605.0,US,US-IL,Mount Auburn,05IS
05KS,small_airport,Darbro Field,945.0,US,US-KS,Elk City,05KS
05KY,small_airport,Cartersville Airport,1070.0,US,US-KY,Berea,05KY
05LA,small_airport,Greg's Flying Service Airport,76.0,US,US-LA,Baskin,05LA
05LL,heliport,Midwest Heliport,710.0,US,US-IL,Willowbrook,05LL
05LS,small_airport,Grass Roots Airport,83.0,US,US-LA,Alexandria,05LS
05M,heliport,Pauls Valley General Hospital Heliport,911.0,US,US-OK,Pauls Valley,
05MA,heliport,Bentley Heliport,80.0,US,US-MA,Ipswich,05MA
05MD,small_airport,Breezecroft Airport,20.0,US,US-MD,Chestertown,05MD
05ME,small_airport,Drisko Airport,70.0,US,US-ME,Jonesboro,05ME
05MN,heliport,Northern Pines Medical Center Heliport,1446.0,US,US-MN,Aurora,05MN
05MO,heliport,Portageville Community Heliport,272.0,US,US-MO,Portageville,05MO
05MS,heliport,Va Medical Center Jackson Heliport,359.0,US,US-MS,Jackson,05MS
